id,timestamp,score,hits,name,player_id,site
231,1751890175092,394,"[[0,1,0],[1,0,0],[1,0,0],[0,0,1],[0,1,0],[0,0,1],[0,0,1],[1,0,1],[1,0,0],[1,1,0],[0,1,1],[0,0,1],[1,0,0],[1,1,1],[0,1,0],[0,1,0],[3,1,0],[0,1,1],[0,0,3],[0,1,1]]",Darts Vador,2,Riate
232,1751890175092,330,"[[0,0,0],[0,2,0],[0,1,1],[3,0,0],[0,0,0],[1,0,0],[0,1,0],[2,1,0],[0,0,0],[0,0,0],[1,1,0],[3,0,0],[0,0,0],[0,0,1],[0,0,0],[0,0,0],[0,1,3],[1,0,3],[0,1,0],[0,1,1]]",Cramomille,7,Riate
233,1751890175092,325,"[[0,0,0],[0,0,1],[1,0,0],[0,0,0],[3,0,1],[1,1,0],[1,0,1],[0,0,1],[0,1,1],[1,0,1],[0,0,1],[0,1,1],[1,1,1],[0,0,0],[1,1,0],[1,1,0],[0,0,1],[1,0,1],[0,1,0],[0,0,1]]",Dart Simpson,3,Riate
234,1751890175092,147,"[[0,0,0],[0,0,0],[0,0,0],[1,0,0],[1,0,0],[0,0,0],[0,0,0],[0,0,0],[0,0,0],[0,0,1],[2,0,0],[1,0,1],[0,0,0],[1,0,0],[0,1,0],[0,0,1],[1,0,0],[0,0,0],[0,0,0],[0,1,0]]",Felix,,Riate
235,1751890175092,95,"[[1,1,0],[0,0,0],[1,1,0],[0,0,0],[0,0,3],[0,0,0],[1,0,0],[0,0,0],[1,0,0],[0,0,0],[0,0,0],[0,0,0],[0,0,0],[0,0,0],[0,0,0],[0,0,0],[0,0,0],[1,1,0],[0,0,0],[0,0,1]]",Angelo,6,Riate
236,1751899087295,599,"[[1,0,0],[0,3,0],[1,1,1],[2,1,1],[1,1,3],[3,1,0],[1,0,1],[0,1,3],[0,3,0],[1,0,1],[1,0,1],[0,1,0],[0,1,1],[3,0,0],[1,1,1],[1,0,1],[0,0,1],[0,3,0],[3,1,1],[0,3,1]]",Number One,0,Riate
237,1751899087295,420,"[[1,0,0],[0,1,1],[1,1,0],[0,0,0],[1,1,3],[0,1,0],[1,0,1],[0,0,1],[0,1,1],[0,0,0],[1,1,0],[0,1,0],[1,0,0],[3,0,0],[1,1,1],[0,1,0],[1,0,0],[0,1,1],[3,1,1],[1,1,0]]",Louis CLXXX,5,Riate
238,1751899087295,337,"[[1,0,0],[0,3,0],[1,1,1],[2,1,1],[0,1,1],[1,0,1],[0,1,0],[1,1,1],[0,1,1],[1,0,1],[1,0,1],[0,1,0],[0,1,1],[0,1,0],[0,1,0],[1,0,1],[0,0,1],[1,0,0],[0,1,1],[1,0,0]]",Dart Simpson,3,Riate
239,1751899087295,303,"[[0,0,0],[1,1,0],[1,0,1],[0,0,0],[1,1,0],[3,1,0],[0,1,0],[0,1,3],[0,1,0],[0,0,1],[1,0,0],[0,1,0],[1,0,0],[0,0,1],[1,1,1],[0,1,0],[0,1,0],[0,3,0],[0,0,1],[0,0,0]]",Darts Vador,2,Riate
240,1751899087295,191,"[[0,0,1],[0,0,0],[0,0,0],[0,3,0],[0,0,0],[0,1,0],[0,0,0],[0,0,0],[3,0,0],[0,0,0],[1,1,0],[0,1,0],[0,0,0],[0,0,0],[0,0,1],[0,0,1],[0,0,0],[0,0,0],[0,0,0],[0,3,1]]",Cramomille,7,Riate
